Symbol,Close,Date,High,Low,Month,Open,Volume,Sector
ADANIENT,3013.75,17-10-2024 05:30,3100,2993,2024-10,3089.95,2655289,Energy
ADANIENT,3002,18-10-2024 05:30,3031.7,2968.1,2024-10,2990,796339,Energy
ADANIENT,2937.65,21-10-2024 05:30,3014.95,2916.95,2024-10,3005.15,1051690,Energy
ADANIENT,2823.8,22-10-2024 05:30,2955,2818,2024-10,2938,1209732,Energy
ADANIENT,2835.55,23-10-2024 05:30,2879,2820.1,2024-10,2840.85,1270530,Energy
ADANIENT,2830.2,24-10-2024 05:30,2875.15,2807.9,2024-10,2841.05,942066,Energy
ADANIENT,2693.45,25-10-2024 05:30,2847,2654.7,2024-10,2845,1954174,Energy
ADANIENT,2798.65,28-10-2024 05:30,2822.4,2672.1,2024-10,2701.1,1385033,Energy
ADANIENT,2848.6,29-10-2024 05:30,2863.05,2732.85,2024-10,2803,1529844,Energy
ADANIENT,2969.3,30-10-2024 05:30,2997.15,2815.05,2024-10,2864,2884272,Energy
ADANIENT,2947.25,31-10-2024 05:30,2976.5,2933.85,2024-10,2967.9,1156390,Energy
ADANIENT,3042.15,02-09-2024 05:30,3059.15,2997.6,2024-09,3021.1,1842658,Energy
ADANIENT,3036.1,03-09-2024 05:30,3053.05,3023.8,2024-09,3037,1371577,Energy
ADANIENT,3012.35,04-09-2024 05:30,3025,2955.2,2024-09,3010,1212270,Energy
ADANIENT,3015.35,05-09-2024 05:30,3037.9,3002,2024-09,3025,734273,Energy
ADANIENT,2975.45,06-09-2024 05:30,3025,2968,2024-09,3019,1251165,Energy
ADANIENT,2964.15,09-09-2024 05:30,2972.5,2927.3,2024-09,2972.1,1523581,Energy
ADANIENT,2986.4,10-09-2024 05:30,3007.4,2947.6,2024-09,2971.6,803782,Energy
ADANIENT,2937.85,11-09-2024 05:30,2992.95,2928,2024-09,2985,888628,Energy
ADANIENT,2991,12-09-2024 05:30,3000,2917.15,2024-09,2950,1314173,Energy
ADANIENT,2968.35,13-09-2024 05:30,3001.95,2956.05,2024-09,2972,815948,Energy
ADANIENT,2984.9,16-09-2024 05:30,3026.4,2972,2024-09,2972,695162,Energy
ADANIENT,2975.2,17-09-2024 05:30,2995.9,2952.5,2024-09,2990.05,698700,Energy
ADANIENT,2956.3,18-09-2024 05:30,2984.75,2935,2024-09,2976,831891,Energy
ADANIENT,2943.15,19-09-2024 05:30,2975.25,2890.35,2024-09,2975.05,1655401,Energy
ADANIENT,3008.5,20-09-2024 05:30,3025,2942.05,2024-09,2948.15,1787210,Energy
ADANIENT,3043.95,23-09-2024 05:30,3070,3015.25,2024-09,3020,897314,Energy
ADANIENT,3093.9,24-09-2024 05:30,3101,3040.25,2024-09,3055,1021918,Energy
ADANIENT,3105.1,25-09-2024 05:30,3123.9,3080.2,2024-09,3108,913008,Energy
ADANIENT,3122.65,26-09-2024 05:30,3148,3085,2024-09,3085,1548019,Energy
ADANIENT,3130.3,27-09-2024 05:30,3179,3116,2024-09,3122,2297441,Energy
ADANIENT,3135.85,30-09-2024 05:30,3209.9,3120.4,2024-09,3129,1607429,Energy
ADANIENT,2949.5,01-11-2024 05:30,2975.6,2928.4,2024-11,2960,304673,Energy
ADANIENT,2897.4,04-11-2024 05:30,2943,2857.75,2024-11,2935,1059384,Energy
ADANIENT,2915.55,05-11-2024 05:30,2924,2870,2024-11,2897.4,752303,Energy
ADANIENT,3046.25,06-11-2024 05:30,3070,2918,2024-11,2918,1676755,Energy
ADANIENT,2970.1,07-11-2024 05:30,3045,2943.05,2024-11,3045,1285585,Energy
ADANIENT,2929.1,08-11-2024 05:30,2995,2911.25,2024-11,2965.1,835641,Energy
ADANIENT,2903.65,11-11-2024 05:30,2946.8,2888,2024-11,2928,584144,Energy
ADANIENT,2870,12-11-2024 05:30,2930.45,2855,2024-11,2910,597231,Energy
ADANIENT,2816.7,13-11-2024 05:30,2889,2808,2024-11,2860,890146,Energy
ADANIENT,2826.8,14-11-2024 05:30,2844.8,2801,2024-11,2824,646797,Energy
ADANIENT,2818.7,18-11-2024 05:30,2858.65,2793.3,2024-11,2826.8,489692,Energy
ADANIENT,2821.5,19-11-2024 05:30,2894.8,2809.8,2024-11,2831,536296,Energy
ADANIENT,2183.65,21-11-2024 05:30,2539.35,2155.05,2024-11,2539.35,21796668,Energy
ADANIENT,2228,22-11-2024 05:30,2289.7,2025,2024-11,2101,20939196,Energy
ADANIENT,2387.25,03-10-2023 05:30,2424.9,2372,2023-10,2418,2019899,Energy
